dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
openml:31,classification,700,20,mcar,0.3,0.2943,0,tabicl_indicator,0.3921840190887451,,0.7233333333333334,0.5175665020942688,0.7604232804232804,,,,
openml:31,classification,700,20,mcar,0.3,0.2943,0,tabicl_aware_zero,0.2947525978088379,,0.72,0.5190801024436951,0.7579365079365079,,,,
openml:31,classification,700,20,mcar,0.3,0.2943,0,tabicl_aware,0.3559541702270508,,0.72,0.5156740546226501,0.7615873015873017,,,,
openml:31,classification,700,20,mcar,0.3,0.2943,0,xgboost,0.07346224784851074,,0.67,0.6679258346557617,0.7018518518518518,,,,
openml:31,classification,700,20,mcar,0.3,0.2943,0,catboost,0.2883589267730713,,0.7,0.6747108555532243,0.6822751322751324,,,,
openml:31,classification,700,20,mcar,0.5,0.4955,0,tabicl_impute,0.2888190746307373,,0.6966666666666667,0.5607837438583374,0.7062962962962963,,,,
openml:31,classification,700,20,mcar,0.5,0.4955,0,tabicl_indicator,0.37043333053588867,,0.7066666666666667,0.5666470527648926,0.6969312169312168,,,,
openml:31,classification,700,20,mcar,0.5,0.4955,0,tabicl_aware_zero,0.2960832118988037,,0.6966666666666667,0.562594473361969,0.7059788359788362,,,,
openml:31,classification,700,20,mcar,0.5,0.4955,0,tabicl_aware,0.35486483573913574,,0.6866666666666666,0.5607898235321045,0.7113756613756614,,,,
openml:31,classification,700,20,mcar,0.5,0.4955,0,xgboost,0.06560349464416504,,0.6866666666666666,0.630371630191803,0.6696296296296297,,,,
openml:31,classification,700,20,mcar,0.5,0.4955,0,catboost,0.2868616580963135,,0.71,0.636302027040608,0.6515873015873016,,,,
openml:31,classification,700,20,mar,0.1,0.0984,0,tabicl_impute,0.2933316230773926,,0.76,0.46855345368385315,0.8223280423280424,,,,
openml:31,classification,700,20,mar,0.1,0.0984,0,tabicl_indicator,0.394669771194458,,0.75,0.47370070219039917,0.8155555555555556,,,,
openml:31,classification,700,20,mar,0.1,0.0984,0,tabicl_aware_zero,0.29450011253356934,,0.7566666666666667,0.4683256149291992,0.820952380952381,,,,
openml:31,classification,700,20,mar,0.1,0.0984,0,tabicl_aware,0.35681986808776855,,0.76,0.46431177854537964,0.8249206349206349,,,,
openml:31,classification,700,20,mar,0.1,0.0984,0,xgboost,0.07187461853027344,,0.7366666666666667,0.571486234664917,0.7778306878306879,,,,
openml:31,classification,700,20,mar,0.1,0.0984,0,catboost,0.28884124755859375,,0.7433333333333333,0.5516211576049251,0.7869312169312169,,,,
openml:31,classification,700,20,mar,0.3,0.299,0,tabicl_impute,0.2875401973724365,,0.7633333333333333,0.5115421414375305,0.7741269841269842,,,,
openml:31,classification,700,20,mar,0.3,0.299,0,tabicl_indicator,0.3879358768463135,,0.7566666666666667,0.5116552710533142,0.7733862433862434,,,,
openml:31,classification,700,20,mar,0.3,0.299,0,tabicl_aware_zero,0.2987215518951416,,0.7533333333333333,0.5123270750045776,0.7728042328042327,,,,
openml:31,classification,700,20,mar,0.3,0.299,0,tabicl_aware,0.3580496311187744,,0.74,0.5153120756149292,0.7698941798941799,,,,
openml:31,classification,700,20,mar,0.3,0.299,0,xgboost,0.06827569007873535,,0.7466666666666667,0.5918164849281311,0.7566137566137565,,,,
openml:31,classification,700,20,mar,0.3,0.299,0,catboost,0.2898898124694824,,0.7533333333333333,0.5713608234361276,0.7586772486772486,,,,
openml:31,classification,700,20,mar,0.5,0.4965,0,tabicl_impute,0.2993052005767822,,0.72,0.5353713035583496,0.7505291005291005,,,,
openml:31,classification,700,20,mar,0.5,0.4965,0,tabicl_indicator,0.41845107078552246,,0.7166666666666667,0.534689724445343,0.7517989417989418,,,,
openml:31,classification,700,20,mar,0.5,0.4965,0,tabicl_aware_zero,0.29524850845336914,,0.7233333333333334,0.5352941155433655,0.7512169312169312,,,,
openml:31,classification,700,20,mar,0.5,0.4965,0,tabicl_aware,0.35552501678466797,,0.7133333333333334,0.5363247394561768,0.746772486772487,,,,
