dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,none,0.0,catboost,0.9958528037383179,0.9730994152046784,0.07305147374447343,,,,,0.0034964491715948863,0.01212657389083493,0.029101893737828177,,,,,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9966413551401869,0.9754385964912281,0.062176366767387595,,,,,0.0028782715164174925,0.015137051585432501,0.02566022716847716,,,,,5
breast_cancer,classification,none,0.0,tabicl_impute,0.996232476635514,0.9719298245614034,0.06505442487302202,,,,,0.002851101603239666,0.015137051585432501,0.027572842615053602,,,,,5
diabetes,regression,block,0.3,catboost,,,,60.713426053233206,0.38611701096057305,,,,,,3.7337830530091605,0.053098150217199755,,,5
diabetes,regression,block,0.3,tabicl_aware,,,,59.113820750686656,0.4185718821280382,0.7834586466165414,1.8448266698042803,,,,2.843005677629868,0.02691026842152412,0.032513907233743845,0.09380294326795466,5
diabetes,regression,block,0.3,tabicl_impute,,,,59.32616986755689,0.41443113119536673,0.793984962406015,1.8907140530751565,,,,2.991290171742918,0.028584800285876916,0.029409935662568342,0.09700901668243646,5
diabetes,regression,block,0.5,catboost,,,,68.75535503344447,0.21291461796195107,,,,,,4.3600291766048915,0.06537585744528945,,,5
diabetes,regression,block,0.5,tabicl_aware,,,,64.71645803424946,0.30333925240902027,0.762406015037594,1.9560600866685462,,,,3.997587300098789,0.045971551434513286,0.04683432030796219,0.18607966303185464,5
diabetes,regression,block,0.5,tabicl_impute,,,,65.3442876047269,0.2894030551867438,0.7759398496240602,2.020145107921579,,,,3.6394122146436563,0.04543376746546735,0.03379278955525448,0.18037604893834286,5
diabetes,regression,block_shift,0.3,catboost,,,,61.405792285661235,0.3712554566386608,,,,,,1.7242357456989013,0.04253840565479924,,,5
diabetes,regression,block_shift,0.3,tabicl_aware,,,,58.93766741597968,0.4209792160607949,0.793984962406015,1.831912730645523,,,,0.7111502920518862,0.028363050570252724,0.024130536144182226,0.09686765552462516,5
diabetes,regression,block_shift,0.3,tabicl_impute,,,,59.287723748417605,0.4140778048608107,0.7954887218045112,1.8724155242676672,,,,1.3044778824650456,0.03279077510194069,0.034208460649856595,0.09877680814924544,5
diabetes,regression,block_shift,0.5,catboost,,,,69.40889051481308,0.19722058245666568,,,,,,2.5302015846759804,0.05033470991135081,,,5
diabetes,regression,block_shift,0.5,tabicl_aware,,,,64.1476982591029,0.3154678680801819,0.7714285714285715,1.9832816498455546,,,,3.3775233987721527,0.03417508794220497,0.05540491256222721,0.17237836179688265,5
diabetes,regression,block_shift,0.5,tabicl_impute,,,,64.77838002560978,0.30184858547377996,0.7849624060150375,2.0489937505425533,,,,2.811758999823898,0.02271900882546766,0.05886790716109287,0.16408598211462877,5
diabetes,regression,none,0.0,catboost,,,,59.54816249092589,0.4102224130961981,,,,,,3.3160237396701433,0.031016889785093173,,,5
diabetes,regression,none,0.0,tabicl_aware,,,,56.01662060506296,0.4777464877148326,0.7759398496240602,1.7305254815077085,,,,3.526245634703697,0.04116549360169974,0.05406218951051895,0.11458691636688388,5
diabetes,regression,none,0.0,tabicl_impute,,,,55.789238900433666,0.48192657149417173,0.7849624060150375,1.776648596300788,,,,3.3669031869203807,0.03965186492003825,0.053325182636081644,0.10256069442428585,5
openml:1063,classification,block,0.3,catboost,0.7682249999999999,0.8178343949044586,0.5152685779353208,,,,,0.04532326596241716,0.017209243421791472,0.07383085992234273,,,,,5
openml:1063,classification,block,0.3,tabicl_aware,0.8392249999999999,0.829299363057325,0.3852273581779006,,,,,0.046113430120735995,0.022698763925102516,0.0568384242739376,,,,,5
openml:1063,classification,block,0.3,tabicl_impute,0.840475,0.8331210191082803,0.38399292009793046,,,,,0.04344513422122215,0.02083493915133264,0.04997048883543766,,,,,5
openml:1063,classification,block,0.5,catboost,0.76775,0.8063694267515924,0.5151320714791976,,,,,0.059692440894974226,0.014663521570982581,0.09826498625339615,,,,,5
openml:1063,classification,block,0.5,tabicl_aware,0.835525,0.8267515923566879,0.38734705060685237,,,,,0.041899190773808506,0.018239262500989,0.06278685707319155,,,,,5
openml:1063,classification,block,0.5,tabicl_impute,0.8366250000000001,0.8203821656050956,0.38969369605684256,,,,,0.04268132275949283,0.019837466882034947,0.06193546378146149,,,,,5
openml:1063,classification,block_shift,0.3,catboost,0.8147,0.821656050955414,0.5144933494822692,,,,,0.027008910566700007,0.014937629808354856,0.10229428487853141,,,,,5
openml:1063,classification,block_shift,0.3,tabicl_aware,0.8381500000000001,0.8394904458598728,0.3791542237582786,,,,,0.035912480421157196,0.009447386607765163,0.04428432273463901,,,,,5
openml:1063,classification,block_shift,0.3,tabicl_impute,0.8309,0.8407643312101911,0.3848732082549717,,,,,0.03559169495823432,0.016851919178755368,0.04311957801493115,,,,,5
openml:1063,classification,block_shift,0.5,catboost,0.7635500000000001,0.8089171974522295,0.5803891257240543,,,,,0.06188936701889912,0.014937629808354875,0.12907714701144216,,,,,5
openml:1063,classification,block_shift,0.5,tabicl_aware,0.8356,0.8305732484076433,0.39043225424779177,,,,,0.043542938577914074,0.023661370217842922,0.058973919605343546,,,,,5
openml:1063,classification,block_shift,0.5,tabicl_impute,0.8284,0.8280254777070064,0.39962037003029277,,,,,0.041368995032512026,0.02664522377497054,0.058951543641885026,,,,,5
openml:1063,classification,none,0.0,catboost,0.783175,0.8280254777070064,0.48965811731880515,,,,,0.06112657206567367,0.021124998664684088,0.08401493074591967,,,,,5
openml:1063,classification,none,0.0,tabicl_aware,0.834975,0.8331210191082803,0.38277237322897784,,,,,0.04902163106731555,0.022698763925102478,0.057652507636561184,,,,,5
openml:1063,classification,none,0.0,tabicl_impute,0.8429249999999999,0.8331210191082803,0.38023373408936756,,,,,0.04388929610394774,0.01767444194332687,0.05217591619330367,,,,,5
openml:1067,classification,block,0.3,catboost,0.7854262826625977,0.8530805687203792,0.3796951274490639,,,,,0.018128793853302322,0.012931047032973852,0.019983804798914383,,,,,5
openml:1067,classification,block,0.3,tabicl_aware,0.8208334922754148,0.8575039494470774,0.34243606147728817,,,,,0.02869354420366694,0.008008715232629733,0.026648027214929048,,,,,5
openml:1067,classification,block,0.3,tabicl_impute,0.8164314323860384,0.8556082148499209,0.3433091377075628,,,,,0.028490307858112542,0.009840386415416992,0.0247916938256477,,,,,5
openml:1067,classification,block,0.5,catboost,0.7661968338737364,0.8445497630331754,0.40164784243446405,,,,,0.013640535632230708,0.005310501205046342,0.020251804818523077,,,,,5
openml:1067,classification,block,0.5,tabicl_aware,0.8083539958039291,0.8533965244865719,0.3487736096457746,,,,,0.020987466933851628,0.009827697323852016,0.0174717750282542,,,,,5
openml:1067,classification,block,0.5,tabicl_impute,0.8079839786381843,0.8549763033175356,0.3494426769737976,,,,,0.023241169939519486,0.0085366547147591,0.018146742747296215,,,,,5
openml:1067,classification,block_shift,0.3,catboost,0.7644859813084113,0.8464454976303317,0.39724671137164597,,,,,0.016644730470819567,0.010679585327744436,0.019734445263783686,,,,,5
openml:1067,classification,block_shift,0.3,tabicl_aware,0.787310699980927,0.8562401263823064,0.3601911887876591,,,,,0.02475589892602347,0.010714581331951436,0.02010774476031863,,,,,5
openml:1067,classification,block_shift,0.3,tabicl_impute,0.783986267404158,0.852132701421801,0.3634554882837049,,,,,0.02577396605457746,0.007946146186388173,0.020182060642453977,,,,,5
openml:1067,classification,block_shift,0.5,catboost,0.7545145908830821,0.8464454976303317,0.40180225049100243,,,,,0.029185753156733822,0.014667291486173987,0.03480476834896109,,,,,5
openml:1067,classification,block_shift,0.5,tabicl_aware,0.7828285332824718,0.8492890995260665,0.3638631734310807,,,,,0.03143752828153455,0.006849757784732666,0.02126867822207635,,,,,5
openml:1067,classification,block_shift,0.5,tabicl_impute,0.7794030135418654,0.8458135860979462,0.3669511920869307,,,,,0.03214125417164121,0.00802428126331773,0.021711683827858173,,,,,5
openml:1067,classification,none,0.0,catboost,0.8008621018500859,0.85086887835703,0.37348027066046496,,,,,0.02096499706662432,0.0048176779405930325,0.02718719017651687,,,,,5
openml:1067,classification,none,0.0,tabicl_aware,0.8436658401678429,0.8641390205371249,0.3239190208594415,,,,,0.021718658579143686,0.006417091946789881,0.022227546735293886,,,,,5
openml:1067,classification,none,0.0,tabicl_impute,0.8469521266450506,0.8663507109004739,0.320047340877691,,,,,0.023706563321757614,0.005761321494094965,0.021143558885900363,,,,,5
openml:1461,classification,block,0.3,catboost,0.8321127946127944,0.8884444444444444,0.29546221693031555,,,,,0.04183764062458032,0.008874989132318163,0.0325300740286042,,,,,5
openml:1461,classification,block,0.3,tabicl_aware,0.8658447904975682,0.8908888888888888,0.2597427207898647,,,,,0.039970479877121066,0.009309493362512656,0.02984160820689314,,,,,5
openml:1461,classification,block,0.3,tabicl_impute,0.8639426674148897,0.8926666666666666,0.25910293072834534,,,,,0.04205740887141701,0.010499853026602201,0.031174606315151343,,,,,5
openml:1461,classification,block,0.5,catboost,0.7679924242424242,0.8786666666666667,0.32770295484529666,,,,,0.029156145460880377,0.0038809442659051173,0.01812957634072364,,,,,5
openml:1461,classification,block,0.5,tabicl_aware,0.8124614197530864,0.8853333333333333,0.29326427272435013,,,,,0.02225475849795172,0.004036867138796711,0.012341016184368794,,,,,5
openml:1461,classification,block,0.5,tabicl_impute,0.8054363075196409,0.8875555555555555,0.295149263145951,,,,,0.028447873992627104,0.006731169435938192,0.0148139224255756,,,,,5
openml:1461,classification,block_shift,0.3,catboost,0.8066638608305274,0.8851111111111111,0.3111599793634217,,,,,0.03972352425734296,0.006876332643007057,0.01698464982102883,,,,,5
openml:1461,classification,block_shift,0.3,tabicl_aware,0.8408132248410027,0.8915555555555554,0.27367150279220953,,,,,0.03012586488845933,0.006314787661503485,0.015114081677597056,,,,,5
openml:1461,classification,block_shift,0.3,tabicl_impute,0.8362958286569399,0.8939999999999999,0.27415399711155797,,,,,0.03906937028723336,0.006876332643007011,0.017344843409560842,,,,,5
openml:1461,classification,block_shift,0.5,catboost,0.7943696221473999,0.8851111111111111,0.3066583205735223,,,,,0.07427317476807797,0.009382147481148666,0.03643173407114436,,,,,5
openml:1461,classification,block_shift,0.5,tabicl_aware,0.8189218574635241,0.8953333333333333,0.28270508679799194,,,,,0.07353537046667653,0.00821771648315576,0.03489305763854436,,,,,5
openml:1461,classification,block_shift,0.5,tabicl_impute,0.8164749345304901,0.8964444444444444,0.2836891583035784,,,,,0.06945781656500519,0.007793634629666763,0.03285952465241941,,,,,5
openml:1461,classification,none,0.0,catboost,0.911059670781893,0.8986666666666666,0.24224383190490073,,,,,0.008437795431471478,0.007387008950486509,0.014326264007228307,,,,,5
openml:1461,classification,none,0.0,tabicl_aware,0.9278596146651703,0.9019999999999999,0.20902211884152405,,,,,0.00705574536783762,0.005741338081228363,0.009445366149852426,,,,,5
openml:1461,classification,none,0.0,tabicl_impute,0.9305614010475122,0.9035555555555556,0.2051025727817183,,,,,0.008451973957958367,0.007260581890090916,0.010646049729672225,,,,,5
openml:1480,classification,block,0.3,catboost,0.7096959999999999,0.7085714285714285,0.6526308695625523,,,,,0.033957639493934225,0.023904572186687876,0.07156317953243468,,,,,5
openml:1480,classification,block,0.3,tabicl_aware,0.736672,0.7154285714285714,0.516449196485506,,,,,0.020209589802863408,0.009389529557231449,0.012930357538798707,,,,,5
openml:1480,classification,block,0.3,tabicl_impute,0.7372799999999999,0.72,0.5183159355278941,,,,,0.019490141097488273,0.011428571428571437,0.013088123403647338,,,,,5
openml:1480,classification,block,0.5,catboost,0.676544,0.6811428571428572,0.6883697785076952,,,,,0.03568871642410248,0.025998430093891065,0.030469568980775744,,,,,5
openml:1480,classification,block,0.5,tabicl_aware,0.719936,0.728,0.5273626073571882,,,,,0.03159131019758438,0.01920884150168185,0.014652468093377675,,,,,5
openml:1480,classification,block,0.5,tabicl_impute,0.705248,0.7154285714285715,0.5391963349962382,,,,,0.037892547024447984,0.010222025039999048,0.015791662246756877,,,,,5
openml:1480,classification,block_shift,0.3,catboost,0.68288,0.6982857142857142,0.6912184666743895,,,,,0.03977569106879224,0.013642670155786638,0.06283229506104193,,,,,5
openml:1480,classification,block_shift,0.3,tabicl_aware,0.716128,0.7074285714285714,0.5295851607260575,,,,,0.032517889230391304,0.02076103099952567,0.02309359762452304,,,,,5
openml:1480,classification,block_shift,0.3,tabicl_impute,0.713216,0.7074285714285715,0.5324409588997703,,,,,0.02596455430004528,0.02980206813806924,0.0188606487320539,,,,,5
openml:1480,classification,block_shift,0.5,catboost,0.6768,0.6971428571428572,0.6693442335541455,,,,,0.030059567528492426,0.017612611437054216,0.04057815649824217,,,,,5
openml:1480,classification,block_shift,0.5,tabicl_aware,0.708128,0.7165714285714285,0.5286477851395125,,,,,0.034067866384615245,0.014901034069034636,0.013406982433554435,,,,,5
openml:1480,classification,block_shift,0.5,tabicl_impute,0.7077760000000001,0.7188571428571429,0.5343902617207072,,,,,0.028369132521104637,0.014791061834908309,0.008861397860572802,,,,,5
openml:1480,classification,none,0.0,catboost,0.72816,0.696,0.6424304471605249,,,,,0.02559774990111441,0.015333037559998512,0.04589746902224503,,,,,5
openml:1480,classification,none,0.0,tabicl_aware,0.756608,0.7188571428571429,0.5007863198031285,,,,,0.011585038627471227,0.014791061834908343,0.010046594488196609,,,,,5
openml:1480,classification,none,0.0,tabicl_impute,0.7716160000000001,0.7222857142857142,0.49000323330981044,,,,,0.025152488544873654,0.027877282097486786,0.0224847343059058,,,,,5
openml:1494,classification,block,0.3,catboost,0.919394748553627,0.8511041009463722,0.37061968463183437,,,,,0.02014835719264852,0.014863367809955539,0.05441611539732643,,,,,5
openml:1494,classification,block,0.3,tabicl_aware,0.9323364485981308,0.8763406940063092,0.3157077411906003,,,,,0.018137451033298776,0.015677947810459534,0.04141004572704898,,,,,5
