family,dim,n_train,seed,model,nrmse,time,error
sine_mlp,1,3000,2,tabicl_released,0.010220829359897236,0.23008489608764648,
sine_mlp,1,3000,2,tabicl_m,0.010658577608743341,0.29614734649658203,
sine_mlp,8,300,0,tabicl_released,0.4392296536700553,0.26029443740844727,
sine_mlp,8,300,0,tabicl_m,0.430292193174609,0.2918124198913574,
sine_mlp,8,300,1,tabicl_released,0.4882468612307693,0.22420787811279297,
sine_mlp,8,300,1,tabicl_m,0.4998589715494537,0.28931164741516113,
sine_mlp,8,300,2,tabicl_released,0.5057670959944305,0.2215137481689453,
sine_mlp,8,300,2,tabicl_m,0.5287698500340954,0.28798389434814453,
sine_mlp,8,1000,0,tabicl_released,0.34419511278513143,0.25853633880615234,
sine_mlp,8,1000,0,tabicl_m,0.3497036750526294,0.3247199058532715,
sine_mlp,8,1000,1,tabicl_released,0.26748855643029745,0.2575831413269043,
sine_mlp,8,1000,1,tabicl_m,0.2780518311273221,0.3246645927429199,
sine_mlp,8,1000,2,tabicl_released,0.3529925435173395,0.2577829360961914,
sine_mlp,8,1000,2,tabicl_m,0.3543197563700853,0.3289327621459961,
sine_mlp,8,3000,0,tabicl_released,0.2764861960790796,0.26944494247436523,
sine_mlp,8,3000,0,tabicl_m,0.2753921187589391,0.3407609462738037,
sine_mlp,8,3000,1,tabicl_released,0.22573140098176278,0.27081775665283203,
sine_mlp,8,3000,1,tabicl_m,0.2395652152789141,0.34074926376342773,
sine_mlp,8,3000,2,tabicl_released,0.1364709265017251,0.27054929733276367,
sine_mlp,8,3000,2,tabicl_m,0.14575342656482448,0.339252233505249,
product,1,300,0,tabicl_released,0.012743141388771868,0.20532584190368652,
product,1,300,0,tabicl_m,0.02216068378607964,0.2680325508117676,
product,1,300,1,tabicl_released,0.011046857729596004,0.24137616157531738,
product,1,300,1,tabicl_m,0.010894980239272142,0.26961541175842285,
product,1,300,2,tabicl_released,0.010280884339314731,0.203993558883667,
product,1,300,2,tabicl_m,0.014585887734813695,0.2685229778289795,
product,1,1000,0,tabicl_released,0.010511586951770705,0.2254645824432373,
product,1,1000,0,tabicl_m,0.010449843576053748,0.28853583335876465,
product,1,1000,1,tabicl_released,0.010206837343325668,0.22537589073181152,
product,1,1000,1,tabicl_m,0.01053452723208901,0.2880115509033203,
product,1,1000,2,tabicl_released,0.010040076657511724,0.22545862197875977,
product,1,1000,2,tabicl_m,0.0103695121405626,0.2882256507873535,
product,1,3000,0,tabicl_released,0.009439359671465435,0.2274777889251709,
product,1,3000,0,tabicl_m,0.009848043076211807,0.2934105396270752,
product,1,3000,1,tabicl_released,0.01018677099801922,0.2301328182220459,
product,1,3000,1,tabicl_m,0.010514155078988206,0.29553651809692383,
product,1,3000,2,tabicl_released,0.010057552392558055,0.22924041748046875,
product,1,3000,2,tabicl_m,0.01034953101406671,0.29440832138061523,
product,8,300,0,tabicl_released,0.10812100613667613,0.22356724739074707,
product,8,300,0,tabicl_m,0.11498937099489996,0.2863295078277588,
product,8,300,1,tabicl_released,0.02827637174304389,0.22053074836730957,
product,8,300,1,tabicl_m,0.03746422955821914,0.287996768951416,
product,8,300,2,tabicl_released,0.22355158601173686,0.2615797519683838,
product,8,300,2,tabicl_m,0.2364879330540082,0.2878439426422119,
product,8,1000,0,tabicl_released,0.04435663564516891,0.2573056221008301,
product,8,1000,0,tabicl_m,0.0420829148958124,0.3271067142486572,
