family,dim,n_train,seed,model,nrmse,time,error
product,8,1000,0,tabpfn3,0.030127951152665828,0.686438798904419,
product,8,1000,1,tabpfn3,0.06040036951513357,0.677987813949585,
product,8,1000,2,tabpfn3,0.017556308547876695,0.7261896133422852,
product,8,3000,0,tabpfn3,0.021790425908915157,0.7761130332946777,
product,8,3000,1,tabpfn3,0.021068625182467098,0.7776930332183838,
product,8,3000,2,tabpfn3,0.01804604572402881,0.786156415939331,
loglinear,1,300,0,tabpfn3,0.013011176277687914,0.6698398590087891,
loglinear,1,300,1,tabpfn3,0.010660774705207066,0.6666462421417236,
loglinear,1,300,2,tabpfn3,0.011148072276728791,0.6629726886749268,
loglinear,1,1000,0,tabpfn3,0.010186200022112358,0.6779303550720215,
loglinear,1,1000,1,tabpfn3,0.010263972044027275,0.6758217811584473,
loglinear,1,1000,2,tabpfn3,0.02282508137099626,0.7230932712554932,
loglinear,1,3000,0,tabpfn3,0.010085925325893894,0.7357227802276611,
loglinear,1,3000,1,tabpfn3,0.010154701133276,0.7476933002471924,
loglinear,1,3000,2,tabpfn3,0.00978766202524653,0.7832999229431152,
loglinear,8,300,0,tabpfn3,0.03321805760123515,0.6696426868438721,
loglinear,8,300,1,tabpfn3,0.1306721999841808,0.7319340705871582,
loglinear,8,300,2,tabpfn3,0.3613332476037713,0.667518138885498,
loglinear,8,1000,0,tabpfn3,0.019475761584874164,0.6795227527618408,
loglinear,8,1000,1,tabpfn3,0.016944512587257973,0.6743969917297363,
loglinear,8,1000,2,tabpfn3,0.02604335445245971,0.6756343841552734,
loglinear,8,3000,0,tabpfn3,0.01679600553069328,0.8258638381958008,
loglinear,8,3000,1,tabpfn3,0.019075004582944286,0.7877731323242188,
loglinear,8,3000,2,tabpfn3,0.01664062465704216,0.7818653583526611,
kinematic,1,300,0,tabpfn3,1.000496026452596,0.661492109298706,
kinematic,1,300,1,tabpfn3,1.0004246974431692,0.765357494354248,
kinematic,1,300,2,tabpfn3,1.0012866988243874,0.6902503967285156,
kinematic,1,1000,0,tabpfn3,1.002590473702403,0.6749744415283203,
kinematic,1,1000,1,tabpfn3,1.0004544497079666,0.6848428249359131,
kinematic,1,1000,2,tabpfn3,0.9995965073358165,0.6787230968475342,
kinematic,1,3000,0,tabpfn3,1.0021688926471628,0.7292294502258301,
kinematic,1,3000,1,tabpfn3,1.0002818799765212,0.7740066051483154,
kinematic,1,3000,2,tabpfn3,1.0002701509840155,0.7332339286804199,
kinematic,8,300,0,tabpfn3,0.3993099500922477,0.674243688583374,
kinematic,8,300,1,tabpfn3,0.3799809457000045,0.6778600215911865,
kinematic,8,300,2,tabpfn3,0.42447022452398125,0.6638612747192383,
kinematic,8,1000,0,tabpfn3,0.2235159221920976,0.6741302013397217,
kinematic,8,1000,1,tabpfn3,0.20959013988356007,0.691307783126831,
kinematic,8,1000,2,tabpfn3,0.23780491625417913,0.6948330402374268,
kinematic,8,3000,0,tabpfn3,0.1297264837394514,0.7740123271942139,
kinematic,8,3000,1,tabpfn3,0.14365343177931295,0.8343226909637451,
kinematic,8,3000,2,tabpfn3,0.12031654679328964,0.777071475982666,
step,1,300,0,tabpfn3,0.05727747530533805,0.6610682010650635,
step,1,300,1,tabpfn3,0.05343873362398909,0.6794276237487793,
step,1,300,2,tabpfn3,0.04797260854407271,0.6750848293304443,
step,1,1000,0,tabpfn3,0.044990437057472785,0.6699368953704834,
step,1,1000,1,tabpfn3,0.08508916911973978,0.676213264465332,
step,1,1000,2,tabpfn3,0.03416737102322454,0.6771483421325684,
step,1,3000,0,tabpfn3,0.03144925637921677,0.7264301776885986,
step,1,3000,1,tabpfn3,0.03400457078526561,0.7369239330291748,
step,1,3000,2,tabpfn3,0.08868690454052057,0.7696590423583984,
step,8,300,0,tabpfn3,0.1619365953850428,0.6698715686798096,
step,8,300,1,tabpfn3,0.25520965373089144,0.7901344299316406,
step,8,300,2,tabpfn3,0.15002281312428903,0.6654636859893799,
step,8,1000,0,tabpfn3,0.11052485147694743,0.673776388168335,
step,8,1000,1,tabpfn3,0.08652188964623761,0.6852798461914062,
step,8,1000,2,tabpfn3,0.08712707551217251,0.6752002239227295,
step,8,3000,0,tabpfn3,0.038149386968940005,0.7743682861328125,
step,8,3000,1,tabpfn3,0.06038109025101109,0.7848601341247559,
step,8,3000,2,tabpfn3,0.08483484385713012,0.7871348857879639,
linear_noisy,1,300,0,tabpfn3,0.46041033307810925,0.7267725467681885,
linear_noisy,1,300,1,tabpfn3,0.4345329357654955,0.659674882888794,
linear_noisy,1,300,2,tabpfn3,0.43093680339466245,0.6738905906677246,
linear_noisy,1,1000,0,tabpfn3,0.4572012960359925,0.6739528179168701,
linear_noisy,1,1000,1,tabpfn3,0.43691432742587283,0.6756057739257812,
linear_noisy,1,1000,2,tabpfn3,0.4309288244553262,0.6793327331542969,
linear_noisy,1,3000,0,tabpfn3,0.45810260361649413,0.7313265800476074,
linear_noisy,1,3000,1,tabpfn3,0.4537686011928338,0.7325193881988525,
linear_noisy,1,3000,2,tabpfn3,0.42198700355984764,0.7355318069458008,
linear_noisy,8,300,0,tabpfn3,0.4738279333626947,0.7235558032989502,
linear_noisy,8,300,1,tabpfn3,0.4729899149263361,0.7005326747894287,
linear_noisy,8,300,2,tabpfn3,0.47708711350044825,0.6859064102172852,
linear_noisy,8,1000,0,tabpfn3,0.46083194887553797,0.6851298809051514,
linear_noisy,8,1000,1,tabpfn3,0.4726837575204776,0.6813669204711914,
linear_noisy,8,1000,2,tabpfn3,0.43817552294771406,0.6745076179504395,
linear_noisy,8,3000,0,tabpfn3,0.4280429079567302,0.7823808193206787,
linear_noisy,8,3000,1,tabpfn3,0.4285180239653137,0.7813670635223389,
linear_noisy,8,3000,2,tabpfn3,0.44220210270260885,0.7951323986053467,
