split,mechanism,gain_percent,datasets_won,pairs,coverage80_change,mean_width_ratio,median_seconds_control,median_seconds_residual
random,block,-0.031022402113151357,3,42,-0.0014114422197128995,0.9982800732052736,0.3852162361145019,0.38886725902557373
random,block_shift,0.044889988487641544,3,42,-0.0025102744651616872,0.9974121702984546,0.38176441192626953,0.36674261093139643
random,none,0.07592781273322091,4,21,0.00065439851154136,1.0011765173021494,0.3880717754364013,0.389965295791626
source,block,-0.45949072729588536,2,42,-0.001552574199221058,1.0053105594363703,0.38165211677551264,0.3823354244232178
source,block_shift,0.5908456438890095,7,42,0.0031372624210604474,0.9903329392946014,0.37785339355468744,0.38012611865997314
