method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,metric_error,time_train_s,time_infer_s,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s
TabPFN-3,1122.2,533.0,54.2,2.13,0.7175,0.018562679906425936,0.010926008609139212,0.008838662903533774,0.635,53.558299536848445,0.8177854074239731,0.8177854074239731,2.0,0.002873505816064048,0.021664434661336676,0.3749037265777588,0.7991409063339234,0.7991409063339234
TabICL-M (ours),1084.6,499.9,50.5,2.34,0.665,0.017150030768302304,0.007850604324558887,0.004597816031521467,0.5491666666666667,54.59055139300294,0.31280722713470455,0.31280722713470455,2.0,0.005672965654438478,0.04543762157593391,0.3726486639969856,0.30377519130706787,0.30377519130706787
TabPFN 2.5,1010.7,532.7,69.8,2.76,0.56,0.02805544549762574,0.01645280050707557,0.010697093433443158,0.4365,56.40352047340767,0.45635190439224244,0.45635190439224244,3.0,0.009407765671019752,0.07026569737726315,0.37268373072147365,0.44493286609649657,0.44493286609649657
TabICLv2,1000.0,512.4,41.9,2.82,0.545,0.020795294792725284,0.00632142287296494,0.006068842567262521,0.45416666666666666,54.175395304933794,0.2310000120401382,0.2310000120401382,3.0,0.00983501223070754,0.07820204072034312,0.3752853340006368,0.22154679298400876,0.22154679298400876
CatBoost,288.2,161.9,2005.0,4.95,0.0125,0.15561523649789058,0.02529657834160043,0.01842539255090525,0.20850000000000002,59.22196708776633,0.3058613840341568,0.3058613840341568,5.0,0.1162367387517611,1.0,0.4541008527977095,0.3141576766967773,0.3141576766967773
