method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,metric_error,time_train_s,time_infer_s,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s
TabICL-M (ours),1325.3,64.8,44.8,1.79,0.8025,0.02489206895341779,0.010111530939381465,0.007859045074877752,0.7033333333333333,91.35984046230038,0.3110171555280685,0.3110171555280685,2.0,0.001568188627299294,0.004178793548657835,0.41125905170498045,0.3054287672042847,0.3054287672042847
TabPFN-3,1266.8,67.6,39.8,2.07,0.7325,0.03014661579918933,0.010635361187768321,0.009021609362667538,0.6075,85.21910787848779,0.7995967489480972,0.7995967489480972,2.0,0.008463979438442737,0.03154186401243281,0.42397757843136785,0.7855002164840699,0.7855002164840699
TabPFN 2.5,1113.6,51.2,45.6,2.86,0.535,0.08316183909789737,0.021882306199505902,0.0191229462310277,0.4106666666666666,95.57423324880273,0.45285104346275334,0.45285104346275334,3.0,0.03751751968613659,0.12818513561686753,0.4493358224630356,0.4424533367156982,0.4424533367156982
TabICLv2,1000.0,50.3,46.7,3.42,0.395,0.11847753000149357,0.02740587054161979,0.022702065912060476,0.34700000000000003,117.55647803044738,0.22965135622024532,0.22965135622024532,4.0,0.06407634268095969,0.1983995011867453,0.4745920275737112,0.22592155933380123,0.22592155933380123
CatBoost,557.2,87.1,174.6,4.86,0.035,0.28822640935108157,0.045929123988325105,0.03500031084802574,0.21483333333333335,135.5003386484425,0.2966052886247635,0.2966052886247635,5.0,0.23801201894035018,1.0,0.6551305965420438,0.292999529838562,0.292999529838562
