dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
wine,classification,124,13,block,0.5,0.43215211754537597,2,random,,tabicl_patternnorm,0.22682690620422363,,0.9259259259259259,0.2914863236456495,0.9815251620807176,,,,
wine,classification,124,13,block_shift,0.3,0.27095937770095074,2,random,,tabicl_patternnorm,0.226762056350708,,0.9444444444444444,0.11181432496049534,0.9950563839452728,,,,
wine,classification,124,13,block_shift,0.5,0.43215211754537597,2,random,,tabicl_patternnorm,0.22383689880371094,,0.8518518518518519,0.5470055290163496,0.9468872691094914,,,,
wine,classification,124,13,none,0.0,0.0,3,random,,tabicl_patternnorm,0.22164106369018555,,1.0,0.004888919464795198,1.0,,,,
wine,classification,124,13,block,0.3,0.3076923076923077,3,random,,tabicl_patternnorm,0.22231173515319824,,1.0,0.023509626130367948,1.0,,,,
wine,classification,124,13,block,0.5,0.46153846153846156,3,random,,tabicl_patternnorm,0.22200608253479004,,0.9629629629629629,0.10735454825579097,1.0,,,,
wine,classification,124,13,block_shift,0.3,0.3076923076923077,3,random,,tabicl_patternnorm,0.22214293479919434,,0.9814814814814815,0.03854695427516268,1.0,,,,
wine,classification,124,13,block_shift,0.5,0.43604148660328435,3,random,,tabicl_patternnorm,0.22200584411621094,,0.9814814814814815,0.03041736757305064,1.0,,,,
wine,classification,124,13,none,0.0,0.0,4,random,,tabicl_patternnorm,0.22449755668640137,,0.9814814814814815,0.02555830298138004,1.0,,,,
wine,classification,124,13,block,0.3,0.3076923076923077,4,random,,tabicl_patternnorm,0.22138357162475586,,0.9629629629629629,0.1843834852624648,0.9875679875679876,,,,
wine,classification,124,13,block,0.5,0.46153846153846156,4,random,,tabicl_patternnorm,0.22201180458068848,,0.9259259259259259,0.1254128838333555,0.997898397898398,,,,
wine,classification,124,13,block_shift,0.3,0.28003457216940364,4,random,,tabicl_patternnorm,0.22364234924316406,,0.9629629629629629,0.07824590379571116,0.997898397898398,,,,
wine,classification,124,13,block_shift,0.5,0.46153846153846156,4,random,,tabicl_patternnorm,0.2223970890045166,,0.9629629629629629,0.13084520144718373,0.9990045962268184,,,,
diabetes,regression,309,10,none,0.0,0.0,0,random,,tabicl_patternnorm,0.28305935859680176,,,,,55.490071751990016,0.4997351301037196,0.7669172932330827,1.7310173835123048
diabetes,regression,309,10,block,0.3,0.3,0,random,,tabicl_patternnorm,0.31963634490966797,,,,,58.66166017586024,0.4409146232053963,0.7819548872180451,1.8030320521149346
diabetes,regression,309,10,block,0.5,0.5,0,random,,tabicl_patternnorm,0.2461996078491211,,,,,65.89105229139845,0.2946213339344482,0.7518796992481203,1.9607397185668092
diabetes,regression,309,10,block_shift,0.3,0.3,0,random,,tabicl_patternnorm,0.2418212890625,,,,,58.77470081075088,0.438757839434075,0.7894736842105263,1.8550028181870155
diabetes,regression,309,10,block_shift,0.5,0.5,0,random,,tabicl_patternnorm,0.24094223976135254,,,,,64.74823240776632,0.3188774362283985,0.8120300751879699,1.9573479488060919
diabetes,regression,309,10,none,0.0,0.0,1,random,,tabicl_patternnorm,0.2356116771697998,,,,,57.08002672916052,0.442594156647214,0.7669172932330827,1.7226011751444408
diabetes,regression,309,10,block,0.3,0.266289592760181,1,random,,tabicl_patternnorm,0.23651671409606934,,,,,59.61338080809012,0.3920180496466068,0.7894736842105263,1.830518427866784
diabetes,regression,309,10,block,0.5,0.40226244343891404,1,random,,tabicl_patternnorm,0.23634815216064453,,,,,61.59651741378754,0.35089418707710285,0.7593984962406015,1.8325996703515424
diabetes,regression,309,10,block_shift,0.3,0.26380090497737557,1,random,,tabicl_patternnorm,0.23671293258666992,,,,,58.073470938782705,0.4230226708015238,0.7744360902255639,1.7776313579786338
diabetes,regression,309,10,block_shift,0.5,0.5,1,random,,tabicl_patternnorm,0.23655104637145996,,,,,63.36984381962753,0.31298146329447585,0.8045112781954887,2.047467599525258
diabetes,regression,309,10,none,0.0,0.0,2,random,,tabicl_patternnorm,0.23660635948181152,,,,,57.14078266267262,0.45915883252808687,0.7518796992481203,1.7869156126079815
diabetes,regression,309,10,block,0.3,0.252262443438914,2,random,,tabicl_patternnorm,0.23616671562194824,,,,,59.35344802532221,0.4164618162154812,0.8195488721804511,1.8734935991440391
diabetes,regression,309,10,block,0.5,0.46289592760181,2,random,,tabicl_patternnorm,0.23630356788635254,,,,,66.46669996786142,0.2682114567440078,0.7518796992481203,1.9899627878283932
diabetes,regression,309,10,block_shift,0.3,0.2,2,random,,tabicl_patternnorm,0.23736977577209473,,,,,57.72619354853872,0.44802016207926476,0.8120300751879699,1.8146118173750045
diabetes,regression,309,10,block_shift,0.5,0.43710407239819005,2,random,,tabicl_patternnorm,0.2378990650177002,,,,,64.80417974040863,0.3043618233503671,0.7819548872180451,2.1316211278155723
diabetes,regression,309,10,none,0.0,0.0,3,random,,tabicl_patternnorm,0.2378218173980713,,,,,50.200818899973434,0.5423195411783601,0.8796992481203008,1.9497472295330254
diabetes,regression,309,10,block,0.3,0.3,3,random,,tabicl_patternnorm,0.24356532096862793,,,,,56.699545412280614,0.4161518333624993,0.7894736842105263,2.019405235593471
diabetes,regression,309,10,block,0.5,0.4276018099547511,3,random,,tabicl_patternnorm,0.23677444458007812,,,,,62.572137975234675,0.28894571908891087,0.8421052631578947,2.317646521847556
diabetes,regression,309,10,block_shift,0.3,0.3,3,random,,tabicl_patternnorm,0.23567581176757812,,,,,59.67722745480163,0.3532178242399301,0.849624060150376,2.04479316478701
diabetes,regression,309,10,block_shift,0.5,0.4671945701357466,3,random,,tabicl_patternnorm,0.23733162879943848,,,,,64.57716435163363,0.24264637499027286,0.8270676691729323,2.2691231551088737
diabetes,regression,309,10,none,0.0,0.0,4,random,,tabicl_patternnorm,0.24364089965820312,,,,,59.034479452625966,0.4658254769133211,0.7593984962406015,1.6929649461379102
diabetes,regression,309,10,block,0.3,0.2660633484162896,4,random,,tabicl_patternnorm,0.2371978759765625,,,,,63.70008691618296,0.37805533828725457,0.7593984962406015,1.881784501594345
diabetes,regression,309,10,block,0.5,0.4819004524886878,4,random,,tabicl_patternnorm,0.23784995079040527,,,,,70.78385315358464,0.23203735689772476,0.7744360902255639,2.0031088193310733
diabetes,regression,309,10,block_shift,0.3,0.3,4,random,,tabicl_patternnorm,0.28258538246154785,,,,,60.298005837788516,0.44271469200260416,0.7894736842105263,1.8502347610319108
diabetes,regression,309,10,block_shift,0.5,0.5,4,random,,tabicl_patternnorm,0.23939013481140137,,,,,68.55954308803622,0.27954389824381864,0.6917293233082706,1.8520515125542176
openml:31,classification,700,20,none,0.0,0.0,0,random,,tabicl_patternnorm,0.27064967155456543,,0.78,0.45170807318397316,0.8355555555555556,,,,
openml:31,classification,700,20,block,0.3,0.27515,0,random,,tabicl_patternnorm,0.2677907943725586,,0.7733333333333333,0.47219923387951146,0.8130687830687832,,,,
openml:31,classification,700,20,block,0.5,0.5,0,random,,tabicl_patternnorm,0.26850271224975586,,0.7233333333333334,0.5544846710519662,0.7022222222222224,,,,
openml:31,classification,700,20,block_shift,0.3,0.27515,0,random,,tabicl_patternnorm,0.2686927318572998,,0.76,0.5176597130023876,0.7580423280423281,,,,
openml:31,classification,700,20,block_shift,0.5,0.48935,0,random,,tabicl_patternnorm,0.26835060119628906,,0.7166666666666667,0.5582891661373452,0.7070899470899471,,,,
openml:31,classification,700,20,none,0.0,0.0,1,random,,tabicl_patternnorm,0.2682023048400879,,0.7766666666666666,0.4645870122375003,0.8243386243386245,,,,
openml:31,classification,700,20,block,0.3,0.2832,1,random,,tabicl_patternnorm,0.2679774761199951,,0.7566666666666667,0.5176320989856317,0.7623280423280424,,,,
openml:31,classification,700,20,block,0.5,0.4316,1,random,,tabicl_patternnorm,0.26641345024108887,,0.7266666666666667,0.5052151112317742,0.7795767195767196,,,,
openml:31,classification,700,20,block_shift,0.3,0.3,1,random,,tabicl_patternnorm,0.26824069023132324,,0.7333333333333333,0.525296182559306,0.7617989417989417,,,,
openml:31,classification,700,20,block_shift,0.5,0.434,1,random,,tabicl_patternnorm,0.26711106300354004,,0.7133333333333334,0.5355441680106374,0.7629629629629631,,,,
openml:31,classification,700,20,none,0.0,0.0,2,random,,tabicl_patternnorm,0.26825523376464844,,0.7866666666666666,0.4631144522443871,0.822857142857143,,,,
openml:31,classification,700,20,block,0.3,0.2746,2,random,,tabicl_patternnorm,0.2669854164123535,,0.7733333333333333,0.47349760648245953,0.8148677248677249,,,,
openml:31,classification,700,20,block,0.5,0.45015,2,random,,tabicl_patternnorm,0.2688896656036377,,0.7033333333333334,0.5498924379741849,0.7122751322751322,,,,
openml:31,classification,700,20,block_shift,0.3,0.3,2,random,,tabicl_patternnorm,0.26706695556640625,,0.7466666666666667,0.5301691591652303,0.754021164021164,,,,
openml:31,classification,700,20,block_shift,0.5,0.48355,2,random,,tabicl_patternnorm,0.2668282985687256,,0.76,0.5389572940747055,0.7308994708994708,,,,
openml:31,classification,700,20,none,0.0,0.0,3,random,,tabicl_patternnorm,0.26668477058410645,,0.7866666666666666,0.5072089347278864,0.7725396825396824,,,,
openml:31,classification,700,20,block,0.3,0.3,3,random,,tabicl_patternnorm,0.26657795906066895,,0.71,0.5572354211719421,0.7083068783068783,,,,
openml:31,classification,700,20,block,0.5,0.467,3,random,,tabicl_patternnorm,0.26680994033813477,,0.7166666666666667,0.5638484676750233,0.6933862433862434,,,,
openml:31,classification,700,20,block_shift,0.3,0.3,3,random,,tabicl_patternnorm,0.26673412322998047,,0.7433333333333333,0.5316642609299219,0.7402645502645504,,,,
openml:31,classification,700,20,block_shift,0.5,0.4844,3,random,,tabicl_patternnorm,0.3066744804382324,,0.7133333333333334,0.5646189834404283,0.6902645502645502,,,,
openml:31,classification,700,20,none,0.0,0.0,4,random,,tabicl_patternnorm,0.26746392250061035,,0.7466666666666667,0.4685278531954039,0.8142328042328042,,,,
openml:31,classification,700,20,block,0.3,0.3,4,random,,tabicl_patternnorm,0.2682468891143799,,0.7166666666666667,0.5493541940526484,0.714867724867725,,,,
openml:31,classification,700,20,block,0.5,0.5,4,random,,tabicl_patternnorm,0.2668461799621582,,0.7233333333333334,0.5406030134928843,0.7405291005291005,,,,
openml:31,classification,700,20,block_shift,0.3,0.2841,4,random,,tabicl_patternnorm,0.26912426948547363,,0.7833333333333333,0.4687283633708773,0.8145502645502646,,,,
openml:31,classification,700,20,block_shift,0.5,0.4896,4,random,,tabicl_patternnorm,0.26777076721191406,,0.7266666666666667,0.542604408772692,0.7404232804232804,,,,
openml:1590,classification,2100,14,none,0.0,0.0,0,random,,tabicl_patternnorm,0.37828803062438965,,0.8566666666666667,0.31543122336051344,0.9000539022383613,,,,
openml:1590,classification,2100,14,block,0.3,0.216,0,random,,tabicl_patternnorm,0.3370089530944824,,0.8666666666666667,0.3193963075258936,0.8950253907912281,,,,
openml:1590,classification,2100,14,block,0.5,0.5,0,random,,tabicl_patternnorm,0.293323278427124,,0.8266666666666667,0.38125454047469365,0.8533256262589008,,,,
openml:1590,classification,2100,14,block_shift,0.3,0.24914285714285714,0,random,,tabicl_patternnorm,0.29649853706359863,,0.8533333333333334,0.32399363366805073,0.8969367925331215,,,,
openml:1590,classification,2100,14,block_shift,0.5,0.5,0,random,,tabicl_patternnorm,0.29012179374694824,,0.8077777777777778,0.4288549407137916,0.8090052200062413,,,,
openml:1590,classification,2100,14,none,0.0,0.0,1,random,,tabicl_patternnorm,0.2923152446746826,,0.8655555555555555,0.2970099168338304,0.9100790093335981,,,,
openml:1590,classification,2100,14,block,0.3,0.2857142857142857,1,random,,tabicl_patternnorm,0.2959156036376953,,0.8544444444444445,0.30871840750554624,0.900954637010979,,,,
openml:1590,classification,2100,14,block,0.5,0.4756190476190476,1,random,,tabicl_patternnorm,0.2941164970397949,,0.8311111111111111,0.345278251195615,0.8769149479417856,,,,
openml:1590,classification,2100,14,block_shift,0.3,0.2618333333333333,1,random,,tabicl_patternnorm,0.2903916835784912,,0.8544444444444445,0.3357702871813205,0.8848229737013815,,,,
