,method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
10,REALTABPFN-V2.5 (tuned),1542.0,69.3,56.7,20.254901960784313,0.7707749766573296,0.11766666546213735,0.04794353043200704,0.03484877401936694,0.0760999156080612,0.0,0.0,1.0,50.0,18809.621657745512,15.114562034606934,2784.3808301143945,1.9769492476347876,0.5443631053094186,0.5443631053094186,0.0,18.0,0.06451859357600043,0.06336201442490218,0.20208129018197674,7003.692138433456,2.1717143058776855,2059.944379267618,1.029697246849537,0.5659840728100135,0.5659840728100135,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
11,"AutoGluon 1.4 (best, 4h)",1520.6,52.7,57.0,21.705882352941178,0.7535014005602241,0.12607647900431718,0.058047992055258346,0.03872576169166486,0.07550181289596836,0.0,0.0,1.0,50.0,8869.150215434092,33.83229374418072,3295.4929115010227,3.960746185815356,0.5951851424425664,0.5951851424425664,0.0,19.0,0.06112225762880752,0.06225063569517116,0.20817076928292333,8486.794112443924,3.824972152709961,1754.9423931818928,1.7661869259858216,0.6040582749737293,0.6040582749737293,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
12,REALTABPFN-V2.5 (default),1520.4,62.2,44.5,21.725490196078432,0.7532679738562091,0.11963597472867958,0.05541725955590217,0.03607774193082022,0.06840733756001743,0.0,0.0,0.0,51.0,70.0432244235394,11.347493774750653,8.36502172509046,1.364670112124064,0.5849851759063875,0.5849851759063875,0.0,18.0,0.06512981199641932,0.053909640600182974,0.2057535142203335,15.982524156570435,1.6060802936553955,5.715304781276978,0.6105561478439298,0.5861754049207606,0.5861754049207606,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
13,[New] TA-TABICLM (default),1499.9,60.3,48.3,23.176470588235293,0.7359943977591037,0.11942856965409519,0.051074708430569174,0.036085926076949354,0.08088776775613105,0.0,1.0,1.0,49.0,25.227923201579674,8.31257654171364,5.719823110868945,1.0953990802649136,0.6009175154530066,0.6009175154530066,0.0,18.0,0.07740729711134675,0.062289162874492925,0.2037493884563446,6.51708722114563,1.0519671440124512,2.4853453046090612,0.32880673909254987,0.5819943891864329,0.5819943891864329,0.0,config,default,[New] TA-TABICLM,[New] TA-TabICL-M,[New] TA-TabICL-M
14,REALMLP_GPU (tuned + ensemble),1484.1,49.8,41.3,24.333333333333332,0.7222222222222222,0.13470190540681862,0.059281406614437426,0.03866386325068792,0.05875774958339116,0.0,0.0,1.0,50.0,31981.760602137623,33.809967508503036,4087.0784307689237,27.881733387117617,0.6340484305619362,0.6340484305619362,0.0,23.0,0.0821951393925775,0.06671048307591255,0.20747863247863252,12240.538945436478,27.119624614715576,2791.968339925578,13.886056212604348,0.6538982499864556,0.6538982499864556,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
15,TABDPT_GPU (tuned + ensemble),1422.5,64.4,56.2,29.176470588235293,0.6645658263305322,0.1445859342641816,0.04895173056239313,0.03751696152198533,0.08444465056133307,1.0,1.0,1.0,48.0,66416.46539208468,2971.300943636427,7210.567655214153,367.37741176890614,0.6654528330611178,0.6654528330611178,0.0,28.0,0.08731848048225654,0.080603610293645,0.20926228615015796,32023.2285656929,688.745902299881,6155.037720286846,386.15846800552595,0.6897651628091457,0.6897651628091457,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
16,REALMLP_GPU (tuned),1413.8,47.7,57.6,29.892156862745097,0.6560457516339869,0.14737883968502555,0.06096440184952093,0.040467443047270166,0.05313417372916274,0.0,0.0,0.0,51.0,31981.760602137623,1.8869580848544252,4087.0784307689237,2.031590406538843,0.6946040165432246,0.6946040165432246,0.0,28.0,0.0852229338274978,0.07509417342903286,0.20329059829059826,12240.538945436478,0.9054093360900879,2791.968339925578,0.3727607920690236,0.7222980017868352,0.7222980017868352,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
17,TABDPT_TURBO (default),1411.3,54.3,43.5,30.107843137254903,0.6534780578898226,0.15068768273966252,0.05001071923207523,0.040555524859787834,0.05147426508748364,0.0,0.0,0.0,51.0,16.529033459869087,1.7968704840716194,4.748939747668472,0.22879669545383166,0.6919339385882931,0.6919339385882931,0.0,27.0,0.08076681332495261,0.06660337552742746,0.20728691953457662,10.46004033088684,0.31279826164245605,2.0183513985425856,0.18293855083150673,0.7357129914839402,0.7357129914839402,0.0,config,default,TABDPT_TURBO,TabDPT-Turbo,tabarena-2026-07-13
18,TA-TABM (tuned + ensemble),1397.4,62.5,44.6,31.274509803921568,0.6395891690009337,0.15112103348614617,0.05494439438808135,0.03476819208966603,0.061444869775002,1.0,0.0,0.0,50.0,23075.823507790472,8.627874407113767,3532.70221350754,4.925289242429074,0.7208154699710702,0.7208154699710702,0.0,29.0,0.09469572285555017,0.07766057452615409,0.20634941205031576,6753.3103930950165,4.197698354721069,2462.0152230262756,1.988117539845753,0.7519899428230437,0.7519899428230437,0.0,hpo,tuned_ensemble,TA-TABM,TabM,tabarena-2026-06-26
19,GBM (tuned + ensemble),1388.1,39.0,39.9,32.068627450980394,0.6301353874883286,0.15944981394652125,0.0614838066080278,0.04222917566584081,0.03769908127808784,0.0,0.0,0.0,51.0,3051.8140357896395,23.19597311113395,765.8082409622898,3.89267210112575,0.7889378245173355,0.7889378245173355,0.0,32.0,0.1091835115876314,0.08713463241806936,0.20939999846752688,1670.2684843540192,3.933397054672241,416.62818478752655,2.2357814013957977,0.8624385694299914,0.8624385694299914,0.0,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
20,CAT (tuned),1386.2,43.8,41.1,32.23529411764706,0.6281512605042017,0.14939855622693488,0.059322917674260345,0.04176873081837737,0.05131122894823938,0.0,1.0,0.0,50.0,11034.88285668691,0.18803582004472322,2838.763825208389,0.08505863824819457,0.7639978112932834,0.7639978112932834,0.0,35.0,0.08490270255142796,0.0702586247448085,0.20989674614165066,4557.130522012711,0.09642744064331055,1347.318981955663,0.03670197522308066,0.8674939582045318,0.8674939582045318,0.0,hpo,tuned,CAT,CatBoost,tabarena-2026-07-13
21,TA-ILTM (tuned + ensemble),1383.9,55.4,46.0,32.431372549019606,0.6258169934640523,0.15462057011393474,0.055862129839094166,0.037083574176346085,0.043626464279736335,0.0,0.0,0.0,51.0,49850.45392826492,1073.8706286888496,18939.401532662003,1131.808067472039,0.7560069905353348,0.7560069905353348,0.0,32.0,0.09067357512953333,0.07575274268507458,0.2107526091515579,54253.49664258957,967.0605816841125,12741.093915793572,397.8816919075777,0.7954994007002608,0.7954994007002608,0.0,hpo,tuned_ensemble,TA-ILTM,iLTM,tabarena-2026-05-13
22,CAT (tuned + ensemble),1383.4,53.7,36.8,32.48039215686274,0.6252334267040149,0.15195967439508992,0.05919742169096498,0.04042066271046238,0.04268573957382724,0.0,0.0,0.0,51.0,11034.88285668691,1.9415339067870496,2838.763825208389,0.7256938112470551,0.7738504875906622,0.7738504875906622,0.0,34.0,0.0827720736938452,0.0750514001519295,0.2102262278592465,4557.130522012711,0.8425314426422119,1347.318981955663,0.36419302225112915,0.8564241732883745,0.8564241732883745,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2026-07-13
23,TABDPT_GPU (tuned),1375.7,65.2,52.0,33.14705882352941,0.617296918767507,0.15796751012495228,0.05297937267639047,0.03918111282990476,0.04989932916801946,0.0,0.0,0.0,51.0,66416.46539208468,265.85550631728825,7210.567655214153,38.32571653209541,0.7119221204218493,0.7119221204218493,0.0,29.0,0.09496354535351748,0.07277918778729901,0.20907611840351592,32023.2285656929,57.323230028152466,6155.037720286846,39.45151534080505,0.7784225542220308,0.7784225542220308,0.0,hpo,tuned,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
24,MNCA_GPU (tuned + ensemble),1363.9,68.9,56.3,34.1764705882353,0.6050420168067226,0.162864028859744,0.057098875116637166,0.041507878294905765,0.06018193263760894,1.0,0.0,0.0,50.0,50606.46933756155,274.8289722134085,6202.203617271756,33.485812316978034,0.735455173364363,0.735455173364363,0.0,30.0,0.1002093534052485,0.07621117947921793,0.20689504347115373,14787.927460432053,13.568246603012085,4618.502341732761,7.734500125465747,0.7474194996073156,0.7474194996073156,0.0,hpo,tuned_ensemble,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
25,CHIMERA (tuned + ensemble),1362.9,54.7,53.7,34.26470588235294,0.6039915966386554,0.1651850569632672,0.06980002223655785,0.04650534944960025,0.0509912869173617,0.0,1.0,0.0,50.0,2890.610516492058,5.987021979163675,1150.2055051629088,0.9390829833285855,0.7766549328675352,0.7766549328675352,0.0,37.0,0.0934048349768708,0.0808630817678605,0.21035196687370605,2245.643702507019,1.085916519165039,518.4647612375757,0.5218088032004838,0.8701864159744077,0.8701864159744077,0.0,hpo,tuned_ensemble,CHIMERA,ChimeraBoost,tabarena-2026-08-10
