dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,mar,0.3,0.29548916227299354,0,tabicl_indicator,0.4236600399017334,,0.9649122807017544,0.08242832124233246,0.9953271028037383,,,,
breast_cancer,classification,398,30,mar,0.3,0.29548916227299354,0,tabicl_aware_zero,0.32118654251098633,,0.9590643274853801,0.08911453187465668,0.9929906542056075,,,,
breast_cancer,classification,398,30,mar,0.3,0.29548916227299354,0,tabicl_aware,0.3728363513946533,,0.9590643274853801,0.08814477920532227,0.993428738317757,,,,
breast_cancer,classification,398,30,mar,0.3,0.29548916227299354,0,xgboost,0.08129239082336426,,0.9590643274853801,0.1291305422782898,0.9889018691588785,,,,
breast_cancer,classification,398,30,mar,0.3,0.29548916227299354,0,catboost,0.3971085548400879,,0.9590643274853801,0.13859033026079592,0.9881717289719626,,,,
breast_cancer,classification,398,30,mar,0.5,0.49349736379613357,0,tabicl_impute,0.3011815547943115,,0.9415204678362573,0.13667520880699158,0.9875876168224299,,,,
breast_cancer,classification,398,30,mar,0.5,0.49349736379613357,0,tabicl_indicator,0.39098429679870605,,0.9590643274853801,0.1309703290462494,0.9886098130841121,,,,
breast_cancer,classification,398,30,mar,0.5,0.49349736379613357,0,tabicl_aware_zero,0.3192150592803955,,0.9532163742690059,0.1375410258769989,0.9872955607476636,,,,
breast_cancer,classification,398,30,mar,0.5,0.49349736379613357,0,tabicl_aware,0.3765408992767334,,0.9473684210526315,0.13614308834075928,0.9881717289719626,,,,
breast_cancer,classification,398,30,mar,0.5,0.49349736379613357,0,xgboost,0.07752704620361328,,0.9590643274853801,0.15336541831493378,0.9829147196261683,,,,
breast_cancer,classification,398,30,mar,0.5,0.49349736379613357,0,catboost,0.34596705436706543,,0.935672514619883,0.17284272478819865,0.9845210280373832,,,,
breast_cancer,classification,398,30,mnar,0.1,0.10105448154657294,0,tabicl_impute,0.31046199798583984,,0.9649122807017544,0.09621536731719971,0.991822429906542,,,,
breast_cancer,classification,398,30,mnar,0.1,0.10105448154657294,0,tabicl_indicator,0.4159061908721924,,0.9649122807017544,0.09465012699365616,0.9908002336448598,,,,
breast_cancer,classification,398,30,mnar,0.1,0.10105448154657294,0,tabicl_aware_zero,0.31505751609802246,,0.9707602339181286,0.0996086597442627,0.9915303738317757,,,,
breast_cancer,classification,398,30,mnar,0.1,0.10105448154657294,0,tabicl_aware,0.373274564743042,,0.9649122807017544,0.09933175146579742,0.9922605140186915,,,,
breast_cancer,classification,398,30,mnar,0.1,0.10105448154657294,0,xgboost,0.07227396965026855,,0.9415204678362573,0.12859532237052917,0.9906542056074766,,,,
breast_cancer,classification,398,30,mnar,0.1,0.10105448154657294,0,catboost,0.38298535346984863,,0.9473684210526315,0.16486952722932532,0.9877336448598131,,,,
breast_cancer,classification,398,30,mnar,0.3,0.2976567076742824,0,tabicl_impute,0.30210328102111816,,0.9590643274853801,0.10360661894083023,0.9915303738317757,,,,
breast_cancer,classification,398,30,mnar,0.3,0.2976567076742824,0,tabicl_indicator,0.4155278205871582,,0.9707602339181286,0.09605278074741364,0.9913843457943925,,,,
breast_cancer,classification,398,30,mnar,0.3,0.2976567076742824,0,tabicl_aware_zero,0.3208928108215332,,0.9707602339181286,0.09951978176832199,0.9921144859813084,,,,
breast_cancer,classification,398,30,mnar,0.3,0.2976567076742824,0,tabicl_aware,0.37346911430358887,,0.9649122807017544,0.09648013114929199,0.9921144859813084,,,,
breast_cancer,classification,398,30,mnar,0.3,0.2976567076742824,0,xgboost,0.07765436172485352,,0.9590643274853801,0.10002093017101288,0.993428738317757,,,,
breast_cancer,classification,398,30,mnar,0.3,0.2976567076742824,0,catboost,0.3871135711669922,,0.9298245614035088,0.14636925758115105,0.9874415887850467,,,,
breast_cancer,classification,398,30,mnar,0.5,0.49789103690685416,0,tabicl_impute,0.3000044822692871,,0.9590643274853801,0.11622832715511322,0.9897780373831776,,,,
breast_cancer,classification,398,30,mnar,0.5,0.49789103690685416,0,tabicl_indicator,0.3810403347015381,,0.9707602339181286,0.11332204192876816,0.9905081775700935,,,,
breast_cancer,classification,398,30,mnar,0.5,0.49789103690685416,0,tabicl_aware_zero,0.31120896339416504,,0.9649122807017544,0.10970859974622726,0.9922605140186915,,,,
breast_cancer,classification,398,30,mnar,0.5,0.49789103690685416,0,tabicl_aware,0.3697214126586914,,0.9649122807017544,0.121841661632061,0.9890478971962617,,,,
breast_cancer,classification,398,30,mnar,0.5,0.49789103690685416,0,xgboost,0.07459831237792969,,0.9532163742690059,0.16486461460590363,0.9811623831775701,,,,
breast_cancer,classification,398,30,mnar,0.5,0.49789103690685416,0,catboost,0.3064754009246826,,0.9473684210526315,0.14443147541698842,0.9894859813084111,,,,
breast_cancer,classification,398,30,block,0.1,0.1,0,tabicl_impute,0.3100137710571289,,0.9941520467836257,0.06099450960755348,0.9959112149532711,,,,
breast_cancer,classification,398,30,block,0.1,0.1,0,tabicl_indicator,0.3719015121459961,,0.9766081871345029,0.063806913793087,0.9962032710280374,,,,
breast_cancer,classification,398,30,block,0.1,0.1,0,tabicl_aware_zero,0.31906580924987793,,0.9883040935672515,0.06082706153392792,0.9962032710280374,,,,
breast_cancer,classification,398,30,block,0.1,0.1,0,tabicl_aware,0.37984728813171387,,0.9883040935672515,0.06020786240696907,0.9957651869158879,,,,
breast_cancer,classification,398,30,block,0.1,0.1,0,xgboost,0.07008028030395508,,0.9473684210526315,0.09862576425075531,0.9913843457943925,,,,
breast_cancer,classification,398,30,block,0.1,0.1,0,catboost,0.3891937732696533,,0.9532163742690059,0.10428541400486174,0.9916764018691588,,,,
breast_cancer,classification,398,30,block,0.3,0.21728178090216754,0,tabicl_impute,0.3092055320739746,,0.9766081871345029,0.0780324637889862,0.9938668224299065,,,,
breast_cancer,classification,398,30,block,0.3,0.21728178090216754,0,tabicl_indicator,0.3960909843444824,,0.9766081871345029,0.07908611744642258,0.994304906542056,,,,
