dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn26,0.9919305853038658,0.964858276643991,0.12226448655128479,,,,,0.0033666839380731323,0.011712972813591384,0.02920111007156205,,,,,5
breast_cancer,classification,block,0.5,tabpfn26,0.9881371792347433,0.939208328070397,0.18132346123456955,,,,,0.008094978763319712,0.010331993877170374,0.05192393695361104,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn26,0.9847829363338979,0.9275171642731166,0.19956090152263642,,,,,0.0035928297064028772,0.037381241701103844,0.07110825182833311,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn26,0.9772153898904771,0.8990833228074606,0.2758288085460663,,,,,0.016937736486069385,0.035529523764335984,0.09036521537326289,,,,,5
breast_cancer,classification,none,0.0,tabpfn26,0.9956191588785046,0.9812865497076023,0.06886391416192054,,,,,0.003995141361070231,0.01124876260916452,0.03638749095054538,,,,,5
diabetes,regression,block,0.3,tabpfn26,,,,63.39880275357054,0.33680268491867854,,,,,,3.8465387759541847,0.04570225345476836,,,5
diabetes,regression,block,0.5,tabpfn26,,,,65.41404246922227,0.25540767417583626,,,,,,3.7354990295087327,0.11127846322183642,,,5
diabetes,regression,block_shift,0.3,tabpfn26,,,,67.61527145745065,0.23786845082988695,,,,,,8.113272860820587,0.1716641622368252,,,5
diabetes,regression,block_shift,0.5,tabpfn26,,,,67.54217443260875,0.21103189260402733,,,,,,4.055363100523645,0.0682996982059924,,,5
diabetes,regression,none,0.0,tabpfn26,,,,56.234844126745145,0.4736648653561285,,,,,,3.544980333236621,0.04161504031284464,,,5
openml:1590,classification,block,0.3,tabpfn26,0.8677004531948871,0.8205486770556087,0.38755106925964355,,,,,0.023864616741253755,0.019815379314679988,0.030485907418879413,,,,,5
openml:1590,classification,block,0.5,tabpfn26,0.8409872408273136,0.8146428030537407,0.3918663442134857,,,,,0.027407448833476962,0.030205179214499122,0.03777503385645009,,,,,5
openml:1590,classification,block_shift,0.3,tabpfn26,0.8452337585479708,0.7910864794336666,0.42574610114097594,,,,,0.042537822893287586,0.0487138012972566,0.07191654265676634,,,,,5
openml:1590,classification,block_shift,0.5,tabpfn26,0.8113200289467498,0.8129885181866848,0.4185900866985321,,,,,0.044393941400799615,0.026378619476625283,0.04495557858319016,,,,,5
openml:1590,classification,none,0.0,tabpfn26,0.9120755198729043,0.863111111111111,0.2981867790222168,,,,,0.0035116511896031806,0.008142253760249423,0.006343113855628448,,,,,5
openml:31,classification,block,0.3,tabpfn26,0.7208457091400409,0.742383569455416,0.5467072248458862,,,,,0.04943102158649395,0.007704571325167629,0.019758787137004293,,,,,5
openml:31,classification,block,0.5,tabpfn26,0.6937353849158714,0.6791956583431802,0.5935093879699707,,,,,0.07284951013917436,0.03744119439484123,0.013539059631779033,,,,,5
openml:31,classification,block_shift,0.3,tabpfn26,0.7012205897565786,0.710505084289508,0.5537800669670105,,,,,0.0621825098959038,0.02665155121010466,0.03409643942603755,,,,,5
openml:31,classification,block_shift,0.5,tabpfn26,0.6633461832838561,0.6899919673925788,0.5970106244087219,,,,,0.08860610137783743,0.015764222163742212,0.01547651761451296,,,,,5
openml:31,classification,none,0.0,tabpfn26,0.8170687830687833,0.7713333333333333,0.4704567313194275,,,,,0.02470804865460556,0.016090024514862862,0.021850416879905802,,,,,5
openml:531,regression,block,0.3,tabpfn26,,,,5.626578136429471,0.613441604028879,,,,,,1.2012362094787377,0.19025139487348908,,,5
openml:531,regression,block,0.5,tabpfn26,,,,6.043747086962038,0.5701989329876767,,,,,,0.7737928687982721,0.1267902896428544,,,5
openml:531,regression,block_shift,0.3,tabpfn26,,,,6.273559380714473,0.5434579476026113,,,,,,0.8231645209165612,0.09872544681586602,,,5
openml:531,regression,block_shift,0.5,tabpfn26,,,,6.953736088694218,0.42828698845582025,,,,,,1.2123297753311657,0.1994428190652904,,,5
openml:531,regression,none,0.0,tabpfn26,,,,2.7637938465721006,0.8980581868842421,,,,,,0.40831108986828313,0.028456215560725206,,,5
wine,classification,block,0.3,tabpfn26,0.9939165073460969,0.9446987057850436,0.18202013820409774,,,,,0.004592895961690175,0.03822686229480503,0.09198432421015121,,,,,5
wine,classification,block,0.5,tabpfn26,0.9896695990540694,0.9176996046102521,0.22691126465797423,,,,,0.011215110227406058,0.04545351382542855,0.09083271393151608,,,,,5
wine,classification,block_shift,0.3,tabpfn26,0.9871679959872998,0.8730117866004962,0.3301763951778412,,,,,0.0077304654646466785,0.057192725096201616,0.07833782271837449,,,,,5
wine,classification,block_shift,0.5,tabpfn26,0.9292108662763349,0.7283416508652948,0.6029593706130981,,,,,0.04849697311016896,0.10632742937709837,0.25812749167205984,,,,,5
wine,classification,none,0.0,tabpfn26,0.999313238202127,0.9888888888888889,0.05492374468594789,,,,,0.0012837669876871885,0.010143010324169704,0.0473006033383761,,,,,5
