dataset,task,mechanism,rate,model,auc,acc,logloss,auc_std,acc_std,logloss_std,n_fits
breast_cancer,classification,block,0.3,tabicl_aware,0.997196261682243,0.9824561403508772,0.06081064977540522,0.002941296134477838,0.004135127375359937,0.02062330691670512,5
breast_cancer,classification,block,0.5,tabicl_aware,0.9950642523364486,0.9707602339181285,0.07586322817283427,0.004291584895840058,0.014909413782435033,0.027605336873402532,5
breast_cancer,classification,block_shift,0.3,tabicl_aware,0.9941296728971963,0.9637426900584796,0.08862098594833016,0.003537075193539594,0.009609167675529221,0.018960642135847274,5
breast_cancer,classification,block_shift,0.5,tabicl_aware,0.9948014018691589,0.9730994152046784,0.08782249143316437,0.0045580868879434204,0.02092227347368224,0.035149748598342447,5
breast_cancer,classification,none,0.0,tabicl_aware,0.9965829439252337,0.9754385964912281,0.061820924819243984,0.0027486650765075754,0.015137051585432501,0.026005042083767065,5
openml:1590,classification,block,0.3,tabicl_aware,0.8989879145507673,0.8597777777777778,0.31618810230815886,0.014204270047642279,0.00966730521518056,0.022004398694143976,5
openml:1590,classification,block,0.5,tabicl_aware,0.8667940934494596,0.8315555555555555,0.3596599473249917,0.009455297151371046,0.00880516122495955,0.013571731332175551,5
openml:1590,classification,block_shift,0.3,tabicl_aware,0.8956339186927288,0.8528888888888888,0.3227863692028092,0.003679709666021197,0.005420582630066883,0.004965076363230488,5
openml:1590,classification,block_shift,0.5,tabicl_aware,0.8598485063406054,0.834,0.36730338348813224,0.025312589719968904,0.018865999202955733,0.030122729549423702,5
openml:1590,classification,none,0.0,tabicl_aware,0.9119662969162246,0.8637777777777778,0.296966612943317,0.003275877272367995,0.00714056400580426,0.006042531112380626,5
openml:31,classification,block,0.3,tabicl_aware,0.7715661375661376,0.7473333333333333,0.5080507195008825,0.05317357128694211,0.03684803628116122,0.04291972371535197,5
openml:31,classification,block,0.5,tabicl_aware,0.7232380952380952,0.7286666666666667,0.5452470349201934,0.035129095604195394,0.002981423969999714,0.021686530825567082,5
openml:31,classification,block_shift,0.3,tabicl_aware,0.772910052910053,0.75,0.507770915973728,0.03259231343933222,0.016499158227686106,0.030626074374628255,5
openml:31,classification,block_shift,0.5,tabicl_aware,0.7252698412698413,0.732,0.5425658119814997,0.031106040151102972,0.02631011634756146,0.01950199348254842,5
openml:31,classification,none,0.0,tabicl_aware,0.8176719576719578,0.7773333333333333,0.46747845369957214,0.023472899614681828,0.013824294235551782,0.019912234220007676,5
wine,classification,block,0.3,tabicl_aware,0.9985466385466385,0.9703703703703704,0.0681044128464365,0.002988195008129537,0.02808472386685759,0.05875337608611695,5
wine,classification,block,0.5,tabicl_aware,0.9958803131025353,0.951851851851852,0.14131801075787148,0.004752976393062997,0.02111435972405811,0.06608001843041886,5
wine,classification,block_shift,0.3,tabicl_aware,0.9953903503903504,0.9666666666666666,0.10454231759137389,0.006070600146511684,0.03562108159568766,0.07672167796568101,5
wine,classification,block_shift,0.5,tabicl_aware,0.9871026093248316,0.9444444444444444,0.17963628476401594,0.02556944617860618,0.052378280087892415,0.18004960256834995,5
wine,classification,none,0.0,tabicl_aware,1.0,0.9888888888888889,0.023064554118643173,0.0,0.010143010324169704,0.01706354944220419,5
