dataset,task,mechanism,rate,model,auc,acc,logloss,rmse,r2,coverage80,width80,auc_std,acc_std,logloss_std,rmse_std,r2_std,coverage80_std,width80_std,n_fits
breast_cancer,classification,block,0.3,tabpfn26,0.9966121495327103,0.9754385964912281,0.06311751753091813,,,,,0.003917527011919307,0.0112487626091646,0.026653975243788867,,,,,5
breast_cancer,classification,block,0.5,tabpfn26,0.9948306074766355,0.9719298245614034,0.07894293144345284,,,,,0.004788517415227999,0.013335385088878805,0.027961229277105558,,,,,5
breast_cancer,classification,block_shift,0.3,tabpfn26,0.9929906542056074,0.9637426900584796,0.09799731373786927,,,,,0.004544499509227719,0.014561286079518987,0.03215022146962385,,,,,5
breast_cancer,classification,block_shift,0.5,tabpfn26,0.9928446261682243,0.9614035087719298,0.09680022448301315,,,,,0.00585843666060675,0.020088378991014816,0.038585643648072494,,,,,5
breast_cancer,classification,none,0.0,tabpfn26,0.9956191588785046,0.9812865497076023,0.06886391416192054,,,,,0.003995141361070231,0.01124876260916452,0.03638749095054538,,,,,5
diabetes,regression,block,0.3,tabpfn26,,,,59.1765616809583,0.41739574599025175,,,,,,2.9902760680893525,0.02828461298822872,,,5
diabetes,regression,block,0.5,tabpfn26,,,,64.97120536083655,0.2973267391899634,,,,,,3.782036800653024,0.050686237506779266,,,5
diabetes,regression,block_shift,0.3,tabpfn26,,,,59.20171581403747,0.41575909941350286,,,,,,1.006212667835286,0.030833764972904566,,,5
diabetes,regression,block_shift,0.5,tabpfn26,,,,64.83101747693777,0.3003567111267956,,,,,,2.965250958615943,0.03632877511752059,,,5
diabetes,regression,none,0.0,tabpfn26,,,,56.234844126745145,0.4736648653561285,,,,,,3.544980333236621,0.04161504031284464,,,5
openml:1590,classification,block,0.3,tabpfn26,0.8953381656217199,0.8593333333333334,0.32275245785713197,,,,,0.013335499287717323,0.009705541245298878,0.019703428503193798,,,,,5
openml:1590,classification,block,0.5,tabpfn26,0.8628400805696617,0.829111111111111,0.3658320724964142,,,,,0.009681396213316536,0.00904037582524799,0.012650999301133701,,,,,5
openml:1590,classification,block_shift,0.3,tabpfn26,0.8919104088059235,0.8526666666666667,0.327842915058136,,,,,0.00426804979631261,0.0028974232912011926,0.005806128169079873,,,,,5
openml:1590,classification,block_shift,0.5,tabpfn26,0.8584810916621748,0.8326666666666667,0.3693672358989716,,,,,0.025352679409853543,0.017331196449477223,0.029849248147290997,,,,,5
openml:1590,classification,none,0.0,tabpfn26,0.9120755198729043,0.863111111111111,0.2981867790222168,,,,,0.0035116511896031806,0.008142253760249423,0.006343113855628448,,,,,5
openml:31,classification,block,0.3,tabpfn26,0.769015873015873,0.7566666666666666,0.5089659869670868,,,,,0.05691333485217155,0.03333333333333334,0.042006181106348385,,,,,5
openml:31,classification,block,0.5,tabpfn26,0.7266560846560847,0.7206666666666667,0.5418629169464111,,,,,0.035817983884380296,0.01064581294844757,0.02318752135867371,,,,,5
openml:31,classification,block_shift,0.3,tabpfn26,0.7717883597883597,0.7546666666666667,0.5098317801952362,,,,,0.02869953155253698,0.020493901531919153,0.02775400774755048,,,,,5
openml:31,classification,block_shift,0.5,tabpfn26,0.7258306878306878,0.7193333333333334,0.5437482953071594,,,,,0.03144440927789119,0.02100264533603113,0.019287115456668075,,,,,5
openml:31,classification,none,0.0,tabpfn26,0.8170687830687833,0.7713333333333333,0.4704567313194275,,,,,0.02470804865460556,0.016090024514862862,0.021850416879905802,,,,,5
openml:531,regression,block,0.3,tabpfn26,,,,3.7607095369007717,0.8144683742142099,,,,,,0.5294104383493888,0.032902935723329786,,,5
openml:531,regression,block,0.5,tabpfn26,,,,4.952972788583108,0.6703677708569391,,,,,,0.6550086673752125,0.09433172619337686,,,5
openml:531,regression,block_shift,0.3,tabpfn26,,,,4.380378830228219,0.7388247011016379,,,,,,0.5838163691370849,0.10020959058868403,,,5
openml:531,regression,block_shift,0.5,tabpfn26,,,,4.716178441496331,0.69101501694443,,,,,,0.8666592885324285,0.14354081690811843,,,5
openml:531,regression,none,0.0,tabpfn26,,,,2.7637938465721006,0.8980581868842421,,,,,,0.40831108986828313,0.028456215560725206,,,5
wine,classification,block,0.3,tabpfn26,0.9968401968401969,0.9703703703703704,0.08811328187584877,,,,,0.005073564555821615,0.02808472386685759,0.06876450216460359,,,,,5
wine,classification,block,0.5,tabpfn26,0.9955087093975983,0.9407407407407407,0.1498099148273468,,,,,0.005992791313768393,0.03562108159568769,0.0932396792063085,,,,,5
wine,classification,block_shift,0.3,tabpfn26,0.99506623006623,0.9592592592592591,0.11566216349601746,,,,,0.006577968528697476,0.042228719448116236,0.08811429911373933,,,,,5
wine,classification,block_shift,0.5,tabpfn26,0.9875428069872514,0.9444444444444444,0.1890162095427513,,,,,0.024547735579737832,0.04536092116265149,0.17162644731295942,,,,,5
wine,classification,none,0.0,tabpfn26,0.999313238202127,0.9888888888888889,0.05492374468594789,,,,,0.0012837669876871885,0.010143010324169704,0.0473006033383761,,,,,5
