dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,350,30,none,0.0,0.0,0,tabicl_impute,12.762447118759155,,0.9466666666666667,0.18338192985963991,0.9832107149594416,,,,
breast_cancer,classification,350,30,none,0.0,0.0,0,tabicl_indicator,6.360557794570923,,0.9466666666666667,0.18338192985963991,0.9832107149594416,,,,
breast_cancer,classification,350,30,none,0.0,0.0,0,tabicl_aware_zero,10.778856039047241,,0.9466666666666667,0.18338192985963991,0.9832107149594416,,,,
breast_cancer,classification,350,30,none,0.0,0.0,0,xgboost,8.106859922409058,,0.9466666666666667,0.2159072178528651,0.9680249009620826,,,,
breast_cancer,classification,350,30,mcar,0.1,0.09613333333333333,0,tabicl_impute,7.4063379764556885,,0.94,0.19544799342189528,0.9771741180909262,,,,
breast_cancer,classification,350,30,mcar,0.1,0.09613333333333333,0,tabicl_indicator,11.506603002548218,,0.94,0.20625497833459844,0.9760422561780797,,,,
breast_cancer,classification,350,30,mcar,0.1,0.09613333333333333,0,tabicl_aware_zero,7.649828910827637,,0.9333333333333333,0.202706632306246,0.9775514053952085,,,,
breast_cancer,classification,350,30,mcar,0.1,0.09613333333333333,0,xgboost,3.1502060890197754,,0.9333333333333333,0.2327934392447161,0.9720807394831165,,,,
breast_cancer,classification,350,30,mcar,0.3,0.29173333333333334,0,tabicl_impute,7.887263774871826,,0.9266666666666666,0.23800967355427247,0.9696283720052821,,,,
breast_cancer,classification,350,30,mcar,0.3,0.29173333333333334,0,tabicl_indicator,9.963234186172485,,0.92,0.23357364649608742,0.9690624410488586,,,,
breast_cancer,classification,350,30,mcar,0.3,0.29173333333333334,0,tabicl_aware_zero,7.574196100234985,,0.9266666666666666,0.23292116019497067,0.9681192227881532,,,,
breast_cancer,classification,350,30,mcar,0.3,0.29173333333333334,0,xgboost,2.9879772663116455,,0.9333333333333333,0.2260487310245071,0.962271269571779,,,,
breast_cancer,classification,350,30,mcar,0.5,0.4951333333333333,0,tabicl_impute,7.795633792877197,,0.9266666666666666,0.22953065641850326,0.9715148085266931,,,,
breast_cancer,classification,350,30,mcar,0.5,0.4951333333333333,0,tabicl_indicator,12.446001291275024,,0.9266666666666666,0.22679064171135485,0.9720807394831164,,,,
breast_cancer,classification,350,30,mcar,0.5,0.4951333333333333,0,tabicl_aware_zero,10.279390811920166,,0.9066666666666666,0.24030849196068776,0.9681192227881532,,,,
breast_cancer,classification,350,30,mcar,0.5,0.4951333333333333,0,xgboost,5.474724054336548,,0.88,0.2917686020767136,0.9490662139219015,,,,
breast_cancer,classification,350,30,mnar,0.1,0.10033333333333333,0,tabicl_impute,10.894498109817505,,0.9333333333333333,0.19715008003076379,0.9798151292209017,,,,
breast_cancer,classification,350,30,mnar,0.1,0.10033333333333333,0,tabicl_indicator,15.542199850082397,,0.94,0.1917345578901148,0.980192416525184,,,,
breast_cancer,classification,350,30,mnar,0.1,0.10033333333333333,0,tabicl_aware_zero,12.06058382987976,,0.9333333333333333,0.18898069805682324,0.9811356347858895,,,,
breast_cancer,classification,350,30,mnar,0.1,0.10033333333333333,0,xgboost,4.3747570514678955,,0.94,0.23405971640243498,0.9628372005282022,,,,
breast_cancer,classification,350,30,mnar,0.3,0.2982666666666667,0,tabicl_impute,8.545551061630249,,0.9133333333333333,0.21666702091530068,0.9684965100924354,,,,
breast_cancer,classification,350,30,mnar,0.3,0.2982666666666667,0,tabicl_indicator,11.423144817352295,,0.9266666666666666,0.2196549802856637,0.9688737973967175,,,,
breast_cancer,classification,350,30,mnar,0.3,0.2982666666666667,0,tabicl_aware_zero,7.98291015625,,0.9266666666666666,0.2212964370960042,0.9681192227881532,,,,
breast_cancer,classification,350,30,mnar,0.3,0.2982666666666667,0,xgboost,2.404709815979004,,0.92,0.2448194736203004,0.9684965100924354,,,,
breast_cancer,classification,350,30,mnar,0.5,0.49773333333333336,0,tabicl_impute,8.007589101791382,,0.9066666666666666,0.24140599807381685,0.9656668553103188,,,,
breast_cancer,classification,350,30,mnar,0.5,0.49773333333333336,0,tabicl_indicator,11.30327296257019,,0.9266666666666666,0.24780156001347725,0.9666100735710244,,,,
breast_cancer,classification,350,30,mnar,0.5,0.49773333333333336,0,tabicl_aware_zero,9.059201002120972,,0.9133333333333333,0.24446574048444897,0.9649122807017545,,,,
