dataset,task,n_train,n_features,mechanism,rate,actual_rate,seed,split,held_out_source,model,seconds,error,acc,logloss,auc,rmse,r2,coverage80,width80
breast_cancer,classification,398,30,none,0.0,0.0,0,random,,tabpfn3,3.5316073894500732,,0.9883040935672515,0.07306572794914246,0.9945969626168224,,,,
breast_cancer,classification,281,30,block,0.3,0.25061511423550087,0,source,0.0,tabpfn3,1.0855827331542969,,0.9791666666666666,0.08451756089925766,0.9952674897119341,,,,
breast_cancer,classification,453,30,block,0.5,0.49279437609841825,0,source,2.0,tabpfn3,0.8986315727233887,,0.9396551724137931,0.15502747893333435,0.988212806626314,,,,
breast_cancer,classification,281,30,block_shift,0.3,0.2662565905096661,0,source,0.0,tabpfn3,0.9889283180236816,,0.8298611111111112,0.34774693846702576,0.9855709876543209,,,,
breast_cancer,classification,453,30,block_shift,0.5,0.48728763913298184,0,source,2.0,tabpfn3,1.165987491607666,,0.9396551724137931,0.1721726357936859,0.9837527875119465,,,,
breast_cancer,classification,398,30,none,0.0,0.0,1,random,,tabpfn3,0.9089770317077637,,0.9590643274853801,0.08501829206943512,0.9941588785046729,,,,
breast_cancer,classification,373,30,block,0.3,0.2886350322202695,1,source,0.0,tabpfn3,0.8950285911560059,,0.9795918367346939,0.07954844832420349,0.99375,,,,
breast_cancer,classification,366,30,block,0.5,0.47855887521968365,1,source,0.0,tabpfn3,1.108511209487915,,0.9655172413793104,0.11270198225975037,0.9957831325301205,,,,
breast_cancer,classification,373,30,block_shift,0.3,0.3,1,source,0.0,tabpfn3,1.0255184173583984,,0.9489795918367347,0.13447487354278564,0.9879385964912281,,,,
breast_cancer,classification,366,30,block_shift,0.5,0.44499121265377856,1,source,0.0,tabpfn3,1.2990882396697998,,0.9556650246305419,0.181553915143013,0.9934738955823293,,,,
breast_cancer,classification,398,30,none,0.0,0.0,2,random,,tabpfn3,0.7581253051757812,,0.9883040935672515,0.039185781031847,0.9992698598130841,,,,
breast_cancer,classification,289,30,block,0.3,0.26719390743995314,2,source,1.0,tabpfn3,0.9423515796661377,,0.9535714285714286,0.10831916332244873,0.9912252368647717,,,,
breast_cancer,classification,395,30,block,0.5,0.4555360281195079,2,source,2.0,tabpfn3,0.942612886428833,,0.9482758620689655,0.1332605928182602,0.9900392817059485,,,,
breast_cancer,classification,289,30,block_shift,0.3,0.2338605741066198,2,source,1.0,tabpfn3,0.8881804943084717,,0.9607142857142857,0.13505768775939941,0.9892872523686478,,,,
breast_cancer,classification,395,30,block_shift,0.5,0.46397188049209137,2,source,2.0,tabpfn3,1.1806437969207764,,0.7873563218390804,0.4623865485191345,0.9619809203142536,,,,
breast_cancer,classification,398,30,none,0.0,0.0,3,random,,tabpfn3,1.0660858154296875,,0.9707602339181286,0.08904989808797836,0.9951810747663552,,,,
breast_cancer,classification,407,30,block,0.3,0.29086115992970124,3,source,3.0,tabpfn3,1.177626609802246,,0.9320987654320988,0.133916974067688,0.9895404663923182,,,,
